"1 - The Shawshank Redemption (1994) - Starring: Mani Ratnam (dir.), Kamal Haasan, Saranya Ponvannan 8.488313463624133"
"2 - The Godfather (1972) - Starring: Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee 8.488177543419402"
"3 - The Godfather: Part II (1974) - Starring: Mari Selvaraj (dir.), Kathir, Anandhi 8.479509312460024"
"4 - The Dark Knight (2008) - Starring: Sundar C. (dir.), Kamal Haasan, Madhavan 8.476210434041958"
"5 - 12 Angry Men (1957) - Starring: Hrishikesh Mukherjee (dir.), Amol Palekar, Bindiya Goswami 8.464435900342302"
"6 - Schindler's List (1993) - Starring: Venkatesh Maha (dir.), Radha Bessy, Subba Rao Vepada 8.461446513990865"
"7 - The Lord of the Rings: The Return of the King (2003) - Starring: Satyajit Ray (dir.), Soumitra Chatterjee, Sharmila Tagore 8.45957079953515"
"8 - Pulp Fiction (1994) - Starring: Fazil (dir.), Mohanlal, Shobana 8.44527937569339"
"9 - Il buono, il brutto, il cattivo (1966) - Starring: Sibi Malayil (dir.), Mohanlal, Thilakan 8.44483281513343"
"1 -  The Lord of the Rings: The Fellowship of the Ring (2001) - Starring: Mahesh Manjrekar (dir.), Nana Patekar, Medha Manjrekar 8.436559714399522"
"11 - Fight Club (1999) - Starring: C. Prem Kumar (dir.), Vijay Sethupathi, Adithya Bhaskar 8.422179621656515"
"12 - Forrest Gump (1994) - Starring: Bharathan (dir.), Kamal Haasan, Shivaji Ganesan 8.411280478137677"
"13 - Inception (2010) - Starring: Anurag Kashyap (dir.), Kay Kay Menon, Pawan Malhotra 8.409559235875887"
"14 - The Lord of the Rings: The Two Towers (2002) - Starring: Madhu C. Narayanan (dir.), Shane Nigam, Soubin Shahir 8.397408329636088"
"15 - Star Wars: Episode V - The Empire Strikes Back (1980) - Starring: Jeethu Joseph (dir.), Mohanlal, Meena 8.38948832953125"
"16 - The Matrix (1999) - Starring: Vetrimaaran (dir.), Dinesh, Samuthirakani 8.353363740217903"
"17 - Goodfellas (1990) - Starring: Rajkumar Hirani (dir.), Aamir Khan, Madhavan 8.349547644446424"
"18 - One Flew Over the Cuckoo's Nest (1975) - Starring: Aamir Khan (dir.), Darsheel Safary, Aamir Khan 8.331475925847252"
"19 - Shichinin no samurai (1954) - Starring: Gowtam Tinnanuri (dir.), Nani, Shraddha Srinath 8.324926290696345"
"20 - Se7en (1995) - Starring: Sudha Kongara (dir.), Suriya, Madhavan 8.319169513520807"
"21 - The Silence of the Lambs (1991) - Starring: Ram Kumar (dir.), Vishnu Vishal, Amala Paul 8.309104444721315"
"22 - Cidade de Deus (2002) - Starring: Mani Ratnam (dir.), Rajinikanth, Mammootty 8.307791402153823"
"23 - La vita è bella (1997) - Starring: Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar 8.300852309273571"
"24 - It's a Wonderful Life (1946) - Starring: Vetrimaaran (dir.), Dhanush, Manju Warrier 8.296723398377283"
"25 - Star Wars (1977) - Starring: Lokesh Kanagaraj (dir.), Karthi, Narain 8.292290680824761"
"26 - Saving Private Ryan (1998) - Starring: I.V. Sasi (dir.), Mohanlal, Revathi 8.284604150178145"
"27 - Sen to Chihiro no kamikakushi (2001) - Starring: Satyajit Ray (dir.), Pinaki Sengupta, Smaran Ghosal 8.282043200650543"
"28 - Interstellar (2014) - Starring: Kundan Shah (dir.), Naseeruddin Shah, Ravi Baswani 8.271727846764636"
"29 - The Green Mile (1999) - Starring: Ram (dir.), Mammootty, Sadhana 8.26695115208525"
"30 - Gisaengchung (2019) - Starring: Vetrimaaran (dir.), Dhanush, Ameer Sultan 8.260103183500181"
"31 - Léon (1994) - Starring: Guru Dutt (dir.), Guru Dutt, Waheeda Rehman 8.25907091681866"
"32 - Seppuku (1962) - Starring: Vijay Anand (dir.), Dev Anand, Waheeda Rehman 8.255511286487993"
"33 - The Usual Suspects (1995) - Starring: Mohan Raja (dir.), Jayam Ravi, Arvind Swamy 8.251504347673109"
"34 - The Pianist (2002) - Starring: Mani Ratnam (dir.), Madhavan, Simran 8.245832659728702"
"35 - Back to the Future (1985) - Starring: Hrishikesh Mukherjee (dir.), Dharmendra, Sharmila Tagore 8.236773713268525"
"36 - Terminator 2: Judgment Day (1991) - Starring: Mani Ratnam (dir.), Mohanlal, Prakash Raj 8.232366250716055"
"37 - Psycho (1960) - Starring: Bhadran (dir.), Mohanlal, Thilakan 8.229203693138029"
"38 - Modern Times (1936) - Starring: Swaroop Rsj (dir.), Naveen Polishetty, Shruti Sharma 8.226469472879037"
"39 - The Lion King (1994) - Starring: Thiagarajan Kumararaja (dir.), Vijay Sethupathi, Samantha Akkineni 8.225145443977807"
"40 - American History X (1998) - Starring: Jeethu Joseph (dir.), Mohanlal, Meena 8.2195216052332"
"41 - City Lights (1931) - Starring: Gayatri (dir.), Madhavan, Vijay Sethupathi 8.215531030079577"
"42 - Gladiator (2000) - Starring: Arun Prabhu Purushothaman (dir.), Aditi Balan, Padmashri Mohammad Ali 8.214860294882197"
